Score,Total # of Trades,Current Trades,Unrated Trades,Curr Neg Trades,Hist Neg Trades,No. of Accts Paid,Curr Past Due,Amount Past due,30 Days,60 Days,90+ days,Inquiries,Inq. Last 6 Months,Public Records,Collections,Oldest Trade,Accounts Balance,Monthly Payment,Credit Limit,High Credit,Total Real Est. Bal,Total Rev. Bal,Tot. Installment Bal,Available %
481,24,1,0,0,0,1,18," $88,758.00 ",4,3,34,4,1,0,5,01/11/2009," $91,204.00 ", $-   , $250.00 ," $82,423.00 ", $-   ," $3,290.00 ", $-   ,100%
603,7,4,0,0,0,0,0, $-   ,0,0,9,6,4,0,0,01/12/1999," $2,022.00 ", $317.00 , $800.00 ," $8,125.00 ", $-   , $774.00 ," $1,248.00 ",0%
632,35,11,0,0,0,8,0, $-   ,7,6,17,0,0,1,0,01/04/2007," $83,794.00 ", $79.00 ," $12,000.00 "," $139,142.00 ", $-   , $705.00 ," $83,089.00 ",94%
802,16,10,0,0,0,6,0, $-   ,0,0,0,1,0,0,0,01/12/2006," $18,619.00 ", $761.00 ," $37,200.00 "," $85,400.00 ", $-   , $53.00 ," $18,566.00 ",100%
616,34,14,0,3,0,9,0, $-   ,18,3,3,25,5,1,1,01/01/2005," $45,570.00 ", $789.00 ," $4,170.00 "," $241,451.00 ", $-   ," $3,588.00 "," $41,982.00 ",21%
569,15,6,0,0,0,1,2," $2,497.00 ",3,3,9,0,0,0,0,01/09/2014," $68,749.00 ", $541.00 ," $1,950.00 "," $85,163.00 "," $48,224.00 "," $3,844.00 "," $64,905.00 ",31%
540,6,1,0,0,0,0,3," $1,406.00 ",3,3,7,10,6,0,2,01/11/2013," $3,609.00 ", $118.00 , $-   ," $4,095.00 ", $-   ," $1,158.00 "," $2,203.00 ",0%
577,29,8,0,12,0,9,0, $577.00 ,13,1,0,15,1,0,0,01/09/2012," $44,742.00 "," $1,544.00 "," $15,730.00 "," $115,501.00 ", $-   ," $14,408.00 "," $30,334.00 ",8%
595,12,2,0,3,0,1,5," $10,416.00 ",23,8,5,3,1,0,3,01/04/2008," $155,337.00 ", $820.00 ," $1,100.00 "," $184,160.00 "," $143,345.00 "," $1,067.00 "," $143,345.00 ",7%
554,3,2,0,0,0,0,1," $16,629.00 ",8,2,1,5,5,0,0,01/04/2013," $17,024.00 ", $-   ," $5,000.00 "," $18,683.00 ", $-   , $395.00 , $-   ,93%
570,13,5,0,0,0,2,2," $2,596.00 ",2,3,23,6,3,1,0,01/07/2008," $4,520.00 ", $140.00 ," $1,310.00 "," $66,495.00 ", $-   ," $1,156.00 ", $-   ,12%
667,64,1,2,0,0,44,0, $-   ,0,0,0,28,11,1,0,01/12/1999," $1,663.00 ", $542.00 ," $16,600.00 "," $106,147.00 ", $-   ," $1,257.00 ", $406.00 ,92%
566,67,25,0,4,0,33,3," $2,784.00 ",28,15,8,9,0,0,0,01/10/2008," $99,839.00 "," $1,022.00 "," $2,900.00 "," $220,974.00 ", $-   ," $8,288.00 "," $91,551.00 ",10%
611,13,7,0,1,0,2,3," $10,008.00 ",2,1,1,15,5,0,2,01/12/1999," $30,603.00 "," $1,033.00 "," $4,150.00 "," $38,044.00 ", $-   ," $3,734.00 "," $15,257.00 ",10%
